state,r_gdp,r_persinc,r_pce,disp_persinc,rpc_persinc,rpc_pce,beauty_rev,beauty_est,beauty_ent,beauty_emp,beauty_wag,wellness_rev,wellness_est,wellness_ent,wellness_emp,wellness_wag,cluster,region
OK,183284.525,196250.71875,142574.99375,162006.73125,50480.9375,36674.8125,441.4860185980656,7951,6876.6875,9394.625,136.4784489924581,227.05064632550125,890.8125,865.25,5156.125,62.08894970580375,1,oklahoma
OR,214188.4375,186779.09375,154768.85,168129.99375,45982.6875,38162.3125,696.0934978116444,12733.625,12386.9375,16101.5625,269.24945248509437,477.3343151558631,1346.125,1337,8949.25,148.32539697748064,1,oregon
PA,725938.76875,677199.96875,551278.18125,590252.40625,52561,42796.4375,3692.460144877772,70471.5625,70471.5625,100534.1875,1702.8382584966903,1376.0156293814,4187.25,4179.5625,30536.75,468.7645549252775,3,pennsylvania
RI,58246.3375,53512.55625,43082.16875,48756.9125,49604.4375,39944.125,236.77861580158813,5317.25,5317.25,5614.75,88.17159541256,144.55606258720186,448.3125,443.3125,3067.25,45.76128531012562,1,rhode island
SC,217862.9375,220504.65,188650.10625,186026.9625,44750.8125,38336.1875,688.7222701022769,12850.625,12660.4375,14700.5625,235.63824744238937,318.34619984989877,1287.125,1278,7507.9375,90.30530533295438,1,south carolina
SD,50368.11875,49522.53125,36870.9625,40794.875,57542.375,42879.4375,121.15813674756876,2246.9375,2199.3125,3184.1875,42.01375791563125,60.46681311692,311.75,310.3125,1681,17.0427851297225,1,south dakota
TN,344103.975,323671.025,255687.46875,275857.29375,48379.5625,38253.4375,1081.0856630969488,14301.9375,13232.625,24290.75,443.5372014007994,502.22261905829623,1662,1618.6875,10905.9375,150.55068176161626,1,tennessee
TX,1622932.68125,1374605.5375,1056704.7375,1229768.56875,49787.875,38269.5625,4623.847657633825,64884.25,61079.25,95603.75,1886.121161577737,2719.6665905616383,6753.75,6078.3125,46605.875,817.3077569704006,4,texas
UT,167836.73125,136302.61875,108387.89375,118725.275,44226.5,35236,473.09271649268817,9560.25,9486.375,12460.3125,157.54455736685938,220.68288571749875,749.1875,743.3125,5145.3125,62.7869355318125,1,utah
VA,512760.7,446052.26875,338135.7125,401450.4,53191,40352.875,2391.0251601783257,35867.8125,35675.4375,52885.75,1050.9200143756336,1101.3239610365724,2831.4375,2698.0625,21997.6875,349.0391908495119,3,virginia
VT,32287.79375,32004.475,28492.1125,28759.64375,50253.25,44749.9375,109.1415346892925,2172.25,2172.25,2490.125,43.611612777005625,65.46609773599937,251.0625,251.0625,1663.4375,23.0321796102,1,vermont
WA,507485.69375,384341.225,294848.86875,368238.2625,52717.5,40545.75,2041.0566100996243,33329.1875,33295.25,44053.625,957.2149663443276,1082.1070182844894,2480.1875,2415.6875,19429.1875,394.2031136198225,3,washington
WI,313439.01875,298021.775,237967.56875,249336.225,51349.8125,41014.125,1341.844201404795,24430.5,24292.0625,37480.1875,610.3864553341631,613.3023889723856,1983.875,1934.6875,16462.125,199.5648397435256,3,wisconsin
WV,74616.125,80150.375,70632.56875,65143.775,43963.875,38741.75,193.469128061265,3572.3125,3243.5,4948.5625,58.75992626110875,80.01732942164813,367.875,367.875,1888.0625,19.267368854884374,1,west virginia
WY,38721.70625,35249.4375,25022.075,30005.8125,61317.5,43528.9375,70.9467145144325,1710,1680.0625,1749,21.49065263962187,39.91552944978625,226.1875,226.1875,1011.8125,10.27079790420125,1,wyoming
