state,year,beauty_rev,beauty_est,beauty_ent,beauty_emp,beauty_wag,wellness_rev,wellness_est,wellness_ent,wellness_emp,wellness_wag
KS,2013,477.77274162969,9572,9572,12238,164.25300971658,246.56036898896,715,715,5741,72.8612698522
KS,2014,488.36385665553,9846,9846,12618,175.85053067256,269.91672378379,792,760,5889,74.70275316528
KS,2015,505.03443691028,9608,9608,12937,191.5567331516,279.04690780241,779,768,5941,77.38008451238
KS,2016,513.47252079138,9208,9207,12925,196.33561265321,303.20545059879,812,794,6236,80.43991765784
KS,2017,529.02533663137,9343,9130,12674,195.53655873503,339.2589766001,846,806,7622,97.2234398878
KS,2018,550.40885688452,9454,9217,13264,205.5749907813,324.50099100301,840,787,7614,95.42410811517
KS,2019,570.55151886261,9324,9133,13880,220.86482096166,324.39123762004,837,791,7360,95.54607166355
KS,2020,443.80473620263,9480,9200,13175,169.25034254131,227.6058554495,722,672,7573,72.09434478182
KS,2021,607.03396303701,9963,9831,14841,229.63162063527,279.2250292908,736,699,6152,86.9134324218
KS,2022,720.01228616136,10336,10336,15764,254.59950968924,309.41205931733,757,757,6579,94.03518975749
KS,2023,725.01530191035,10268,10268,15935,254.7162879224,294.54518182133,732,732,6388,90.10936865561
KS,2024,718.44622332921,10158,10158,15942,253.23927135415,296.54379141023003,722,722,6425,90.26320263537
KY,2007,472.29075217473,7555,6325,11573,173.69294550777,227.23200304687,1017,1017,5255,65.21009773897
KY,2008,494.06703353717,7996,6701,11847,178.92228484585,271.92027820896,1016,1016,6776,84.50587050233
KY,2009,499.81416990185,9006,7175,12744,189.84705419893,270.04702927848,982,982,6435,78.43320895203
KY,2010,566.69106098017,11030,7888,14289,195.26653595981,286.89982327205,1030,1030,6551,79.82534710563
KY,2011,609.40241058108,12812,8400,15275,211.77497529368,279.05435649663,966,966,6503,81.32025466522
KY,2012,516.38091634123,9946,8376,13542,182.6779580808,244.50017637172,998,998,5722,69.02365796441
KY,2013,532.25464314877,10094,8652,14050,180.72925036576,262.38718336833,1002,1001,6220,76.73418687059
KY,2014,525.88512971912,10158,8835,13902,185.31593520027,278.11247250667,1019,1015,6225,76.5940338393
KY,2015,532.60187956781,10055,8843,13344,187.55113718359,293.95208787086,1087,1072,6137,76.94417506047
KY,2016,539.85188602245,9572,8737,13227,194.40284444369,305.34919254603,1025,1018,6465,81.8158168924
KY,2017,548.96578147895,9533,8822,13556,201.26194784448,341.27361039528,1050,1050,6956,86.5847711116
KY,2018,543.98402988053,8842,8842,12934,195.33080541361,312.43088294664,1003,1003,7516,93.08844868937
KY,2019,557.10515918904,8773,8773,13034,201.46245059529,329.27096463087,1068,1068,7684,98.26168997244
KY,2020,414.9840045676,8672,8672,12036,149.91393554731,219.78517558063,925,925,7163,67.05072578017
KY,2021,529.88648741053,8971,8971,11832,183.48016224453,265.6657496498,914,914,5694,81.75992410722
KY,2022,547.64912535984,9091,9091,12091,188.95287251489,319.2647214221,921,921,6250,87.64975964677
KY,2023,551.85709292639,9151,9151,12311,190.23755388334,302.69735864858,893,893,6012,83.13458172738
KY,2024,547.2561958298,9171,9171,12408,192.04161734278,303.52086903333,882,882,5993,83.18428372745
LA,2007,477.07154504733,7555,7550,9762,164.74716088646,203.78714952779,1118,1118,4413,64.17380586416
LA,2008,494.69175241233,7881,7881,10025,166.22986614076,266.11405501361,1143,1143,4954,70.69126533603
LA,2009,482.25049552396,8314,8314,10547,169.855981866,283.7332962389,1205,1205,4982,68.41912348073
LA,2010,513.08438364928,9323,9323,11359,169.94919782474,290.44771277994,1207,1207,4988,69.34283234024
LA,2011,509.74621641252,9856,9856,11658,173.71683955237,303.34593761039,1257,1257,4997,69.98180250282
LA,2012,494.42237605677,9934,9925,11376,168.66141565195,304.52964829695,1364,1364,5281,72.95287669518
LA,2013,548.36771291087,10178,10178,11881,165.88806693805,304.75590715887,1328,1328,5612,78.30484842713
LA,2014,553.61690999078,10697,10697,11245,164.27892319493,329.60426430637,1362,1362,5912,83.07109643943
LA,2015,618.28232624448,11642,11642,11939,181.9294104914,339.3680808122,1315,1315,6120,86.70282440802
LA,2016,674.00532714861,11768,11768,13364,215.07576641252,355.10887768304,1278,1278,6408,92.54826687454
LA,2017,741.07110768226,11833,11833,14334,230.14890119046,378.28798851525,1356,1328,6936,97.30523847902
LA,2018,768.33324761326,12435,12435,14569,235.17271512102,372.16197818853,1371,1343,7443,102.67475999897
LA,2019,811.20048841176,12866,12866,15435,253.7789049475,373.39038742035,1384,1368,7137,101.15993347652
LA,2020,622.13426926245,12549,12549,15089,203.14081081727,255.00542322779,1240,1185,6587,69.45280474097
LA,2021,837.61259261123,13518,13518,15815,266.17432744049,337.93846602483,1313,1260,5991,97.3018185736
LA,2022,998.95602984499,14082,14082,16846,280.8361421893,407.00920648149,1246,1246,6049,94.30901966376
LA,2023,1017.04089090383,14397,14397,17071,285.44289381773,387.84176740644,1224,1224,5927,92.41118255474
LA,2024,1018.99084944129,14656,14656,17122,285.86526365264,390.86532805372,1225,1225,6016,93.8677488395
MA,2007,1885.37666328701,25207,25207,40607,998.43325042052,1268.16609436893,3017,3017,22758,523.51729417507
MA,2008,1921.79613252921,26687,26687,43789,1067.52267831419,1293.05643367446,2992,2992,24631,561.05664590286
MA,2009,1881.10611679567,29063,29063,45173,1052.85507293613,1321.14397430432,2998,2946,24724,533.5304907887
MA,2010,1998.73521882149,32514,32514,48550,1062.19553718316,1335.80957870115,3071,2910,24440,539.49295922928
MA,2011,2067.1699685435,35111,35111,52589,1150.16562482462,1363.07486128522,3099,2916,24857,554.86670033293
MA,2012,2199.18929697549,35511,35511,53759,1170.15063789987,1386.55154231824,3203,3060,25603,563.88637608059
MA,2013,2311.33163431373,37201,37201,56150,1156.11383426619,1374.56329556704,3230,3068,26350,588.73450490889
MA,2014,2339.49863686587,37859,37859,57945,1232.4228045559,1504.32856048885,3340,3194,28070,623.55959753127
MA,2015,2440.44114078839,38207,38207,59415,1335.33136324544,1587.32588073829,3474,3269,28927,656.22093557584
MA,2016,2551.16028443064,38093,38093,59832,1395.21071972211,1695.83456736088,3443,3304,30135,684.75840395803
MA,2017,2582.69939724699,37886,37886,59982,1400.63499766359,1755.61559690333,3529,3406,31730,702.95555749124
MA,2018,2741.81568642474,39276,39276,59543,1399.58146701253,1765.65034342782,3531,3486,32812,715.66442534809
MA,2019,2821.1511112283,39588,39588,60246,1460.62311364911,1831.51923526944,3591,3560,33490,760.09086443596
MA,2020,2084.85895751446,38780,38780,58687,1143.05759756105,1254.98283616489,3196,3164,33555,555.76315777669
MA,2021,2667.34352912583,39950,39950,56481,1394.15028587808,1492.02756630717,3091,3091,23004,594.99158428459
MA,2022,2931.73512443272,41064,41064,61663,1553.64974984921,1720.7969915019,3064,3064,26214,670.73200663235
MA,2023,2970.36310229688,41579,41579,62670,1582.15252035028,1639.95628826041,2989,2989,25379,648.75364419696
MA,2024,2961.65304955041,41918,41918,63046,1589.19315417539,1653.14758070762,2975,2975,25457,651.16730464454
MD,2007,1644.01575593179,17284,17284,38047,814.80215190584,886.22410742329,2102,2053,16660,295.0145700783
MD,2008,1607.24460443813,18232,18232,38756,819.39256646389,811.86321577862,1959,1935,16294,284.49012411816
MD,2009,1533.03296363992,19448,19448,39016,813.65175907864,820.25858935617,1924,1906,15842,270.34427432352
MD,2010,1610.4568807817,21351,21351,41478,804.12132703125,833.59971443836,1938,1893,15562,269.03720664287
MD,2011,1599.88669637559,22192,22192,42516,830.95406463537,841.02995368895,1903,1852,15951,281.2135038413
MD,2012,1728.14905142908,22448,22448,43507,845.43283053169,819.15368959404,1905,1830,15297,265.81508805608
MD,2013,1782.54362454747,23624,23624,45106,825.08710422611,825.34275693389,1958,1846,16380,287.34175185112
MD,2014,1784.57356542088,23972,23972,45724,868.65796754732,872.35922023729,2055,1952,16242,284.82504616794
MD,2015,1827.05323493166,24013,24013,45550,911.57227171986,918.47708069102,2014,1873,17580,313.86109129428
MD,2016,1853.79873914593,23217,23217,44206,903.80301739945,983.47756403563,2047,1910,18259,321.49840483237
MD,2017,1826.54081452718,22973,22973,44251,912.87880501654,1002.69595681922,2065,1923,19282,333.54287801914
MD,2018,1932.09314286502,23169,23169,43228,899.47796479682,1010.1868929316,2037,1895,20291,346.26344954353
MD,2019,1948.15219315976,22955,22955,43137,933.08600697918,1035.64483655693,2076,1945,20148,360.56803500845
MD,2020,1434.4293930825,23152,23152,40057,694.49672269873,680.17756277884,1761,1618,20328,264.88085000637
MD,2021,1851.28195945617,23693,23693,38480,836.37844941718,794.24377617999,1787,1663,13664,275.03111062118
MD,2022,1932.27100456288,24119,22799,39425,867.78334898232,877.79370197436,1733,1727,15141,299.11578140447
MD,2023,1933.52445124401,24195,22845,39651,869.56550740481,829.65573440587,1674,1674,14592,286.3867511673
